false_positive_rate,true_positive_rate,threshold
0.0,0.0,inf
0.0,0.009523809523809525,0.8964688777923584
0.0,0.05714285714285714,0.853759229183197
0.022222222222222223,0.05714285714285714,0.8500239849090576
0.022222222222222223,0.11428571428571428,0.7968305945396423
0.044444444444444446,0.11428571428571428,0.7933565378189087
0.044444444444444446,0.12380952380952381,0.7876084446907043
0.06666666666666667,0.12380952380952381,0.785628616809845
0.06666666666666667,0.1619047619047619,0.77285236120224
0.08888888888888889,0.1619047619047619,0.767238199710846
0.08888888888888889,0.2761904761904762,0.7198740839958191
0.1111111111111111,0.2761904761904762,0.7189650535583496
0.1111111111111111,0.3333333333333333,0.6653167009353638
0.13333333333333333,0.3333333333333333,0.6607891321182251
0.13333333333333333,0.4380952380952381,0.6064421534538269
0.15555555555555556,0.4380952380952381,0.6047619581222534
0.15555555555555556,0.5333333333333333,0.5168262720108032
0.17777777777777778,0.5333333333333333,0.5038425326347351
0.17777777777777778,0.5523809523809524,0.4858710765838623
0.2,0.5523809523809524,0.4788096845149994
0.2,0.6761904761904762,0.3276320993900299
0.2222222222222222,0.6761904761904762,0.3130132853984833
0.2222222222222222,0.7238095238095238,0.2930167019367218
0.24444444444444444,0.7238095238095238,0.2895912528038025
0.24444444444444444,0.7523809523809524,0.28166940808296204
0.26666666666666666,0.7523809523809524,0.2732745110988617
0.26666666666666666,0.7714285714285715,0.26693281531333923
0.28888888888888886,0.7714285714285715,0.26529377698898315
0.28888888888888886,0.8,0.25611165165901184
0.3333333333333333,0.8,0.2449997216463089
0.3333333333333333,0.8380952380952381,0.21518471837043762
0.37777777777777777,0.8380952380952381,0.2146955281496048
0.37777777777777777,0.8571428571428571,0.20067034661769867
0.4,0.8571428571428571,0.19869764149188995
0.4,0.8666666666666667,0.1985587477684021
0.4222222222222222,0.8666666666666667,0.19805040955543518
0.4222222222222222,0.8761904761904762,0.18903157114982605
0.4666666666666667,0.8761904761904762,0.18543286621570587
0.4666666666666667,0.9333333333333333,0.16556768119335175
0.6222222222222222,0.9333333333333333,0.13562163710594177
0.6222222222222222,0.9428571428571428,0.13498179614543915
0.7777777777777778,0.9428571428571428,0.10605466365814209
0.7777777777777778,0.9523809523809523,0.10067155957221985
0.8888888888888888,0.9523809523809523,0.07919074594974518
0.8888888888888888,0.9714285714285714,0.07818520069122314
0.9111111111111111,0.9714285714285714,0.07492237538099289
0.9111111111111111,0.9904761904761905,0.061717405915260315
1.0,0.9904761904761905,0.043724656105041504
1.0,1.0,0.043218132108449936
