precision,recall,threshold
0.7,1.0,0.043218132
0.697986577181208,0.9904761904761905,0.043724656
0.7027027027027027,0.9904761904761905,0.05622292
0.7074829931972789,0.9904761904761905,0.057997674
0.7123287671232876,0.9904761904761905,0.061569776
0.7172413793103448,0.9904761904761905,0.061717406
0.7152777777777778,0.9809523809523809,0.06995439
0.7132867132867133,0.9714285714285714,0.074922375
0.7183098591549296,0.9714285714285714,0.0781852
0.7163120567375887,0.9619047619047619,0.07863362
0.7142857142857143,0.9523809523809523,0.079190746
0.7194244604316546,0.9523809523809523,0.085282624
0.7246376811594203,0.9523809523809523,0.08625404
0.7299270072992701,0.9523809523809523,0.08790855
0.7352941176470589,0.9523809523809523,0.09104519
0.7407407407407407,0.9523809523809523,0.10067156
0.7388059701492538,0.9428571428571428,0.10605466
0.7443609022556391,0.9428571428571428,0.10951525
0.75,0.9428571428571428,0.11212795
0.7557251908396947,0.9428571428571428,0.11750163
0.7615384615384615,0.9428571428571428,0.11811309
0.7674418604651163,0.9428571428571428,0.12083214
0.7734375,0.9428571428571428,0.12844455
0.7795275590551181,0.9428571428571428,0.1349818
0.7777777777777778,0.9333333333333333,0.13562164
0.784,0.9333333333333333,0.13676664
0.7903225806451613,0.9333333333333333,0.1403759
0.7967479674796748,0.9333333333333333,0.14285949
0.8032786885245902,0.9333333333333333,0.14437303
0.8099173553719008,0.9333333333333333,0.14884667
0.8166666666666667,0.9333333333333333,0.16350085
0.8235294117647058,0.9333333333333333,0.16556768
0.8220338983050848,0.9238095238095239,0.17187901
0.8205128205128205,0.9142857142857143,0.17222886
0.8189655172413793,0.9047619047619048,0.17510118
0.8173913043478261,0.8952380952380953,0.178278
0.8157894736842105,0.8857142857142857,0.18250464
0.8141592920353983,0.8761904761904762,0.18543287
0.8214285714285714,0.8761904761904762,0.18900992
0.8288288288288288,0.8761904761904762,0.18903157
0.8272727272727273,0.8666666666666667,0.19805041
0.8348623853211009,0.8666666666666667,0.19855875
0.8333333333333334,0.8571428571428571,0.19869764
0.8411214953271028,0.8571428571428571,0.20067035
0.839622641509434,0.8476190476190476,0.21109061
0.8380952380952381,0.8380952380952381,0.21469553
0.8461538461538461,0.8380952380952381,0.2149467
0.8543689320388349,0.8380952380952381,0.21518472
0.8529411764705882,0.8285714285714286,0.2168496
0.8514851485148515,0.819047619047619,0.2358709
0.85,0.8095238095238095,0.23742366
0.8484848484848485,0.8,0.24499972
0.8571428571428571,0.8,0.24712679
0.865979381443299,0.8,0.25611165
0.8645833333333334,0.7904761904761904,0.2593462
0.8631578947368421,0.780952380952381,0.26452094
0.8617021276595744,0.7714285714285715,0.26529378
0.8709677419354839,0.7714285714285715,0.26693282
0.8695652173913043,0.7619047619047619,0.2671155
0.8681318681318682,0.7523809523809524,0.2732745
0.8777777777777778,0.7523809523809524,0.2816694
0.8764044943820225,0.7428571428571429,0.28341603
0.875,0.7333333333333333,0.28864515
0.8735632183908046,0.7238095238095238,0.28959125
0.8837209302325582,0.7238095238095238,0.2930167
0.8823529411764706,0.7142857142857143,0.2978878
0.8809523809523809,0.7047619047619048,0.29974735
0.8795180722891566,0.6952380952380952,0.30288133
0.8780487804878049,0.6857142857142857,0.30754113
0.8765432098765432,0.6761904761904762,0.3130133
0.8875,0.6761904761904762,0.3276321
0.8860759493670886,0.6666666666666666,0.34086785
0.8846153846153846,0.6571428571428571,0.3434393
0.8831168831168831,0.6476190476190476,0.38074273
0.881578947368421,0.638095238095238,0.3851985
0.88,0.6285714285714286,0.39039028
0.8783783783783784,0.6190476190476191,0.3977968
0.8767123287671232,0.6095238095238096,0.40052697
0.875,0.6,0.40710443
0.8732394366197183,0.5904761904761905,0.4175037
0.8714285714285714,0.580952380952381,0.4349256
0.8695652173913043,0.5714285714285714,0.44483477
0.8676470588235294,0.5619047619047619,0.44565448
0.8656716417910447,0.5523809523809524,0.47880968
0.8787878787878788,0.5523809523809524,0.48587108
0.8769230769230769,0.5428571428571428,0.49141836
0.875,0.5333333333333333,0.50384253
0.8888888888888888,0.5333333333333333,0.5168263
0.8870967741935484,0.5238095238095238,0.51857495
0.8852459016393442,0.5142857142857142,0.5298373
0.8833333333333333,0.5047619047619047,0.5327373
0.8813559322033898,0.49523809523809526,0.5343751
0.8793103448275862,0.4857142857142857,0.54352045
0.8771929824561403,0.47619047619047616,0.56155825
0.875,0.4666666666666667,0.57469785
0.8727272727272727,0.45714285714285713,0.578968
0.8703703703703703,0.44761904761904764,0.58656526
0.8679245283018868,0.4380952380952381,0.60476196
0.8846153846153846,0.4380952380952381,0.60644215
0.8823529411764706,0.42857142857142855,0.60763043
0.88,0.41904761904761906,0.6184237
0.8775510204081632,0.4095238095238095,0.6302987
0.875,0.4,0.6340236
0.8723404255319149,0.3904761904761905,0.6351992
0.8695652173913043,0.38095238095238093,0.6372189
0.8666666666666667,0.37142857142857144,0.64413774
0.8636363636363636,0.3619047619047619,0.64415497
0.8604651162790697,0.3523809523809524,0.64775324
0.8571428571428571,0.34285714285714286,0.65122765
0.8536585365853658,0.3333333333333333,0.66078913
0.875,0.3333333333333333,0.6653167
0.8717948717948718,0.3238095238095238,0.6723251
0.868421052631579,0.3142857142857143,0.70638067
0.8648648648648649,0.3047619047619048,0.7115865
0.8611111111111112,0.29523809523809524,0.7120156
0.8571428571428571,0.2857142857142857,0.717295
0.8529411764705882,0.2761904761904762,0.71896505
0.8787878787878788,0.2761904761904762,0.7198741
0.875,0.26666666666666666,0.72250146
0.8709677419354839,0.2571428571428571,0.7226756
0.8666666666666667,0.24761904761904763,0.7234497
0.8620689655172413,0.23809523809523808,0.7298398
0.8571428571428571,0.22857142857142856,0.73139936
0.8518518518518519,0.21904761904761905,0.74174666
0.8461538461538461,0.20952380952380953,0.74801487
0.84,0.2,0.7511623
0.8333333333333334,0.19047619047619047,0.7612249
0.8260869565217391,0.18095238095238095,0.7621034
0.8181818181818182,0.17142857142857143,0.7635108
0.8095238095238095,0.1619047619047619,0.7672382
0.85,0.1619047619047619,0.77285236
0.8421052631578947,0.1523809523809524,0.7771278
0.8333333333333334,0.14285714285714285,0.77748
0.8235294117647058,0.13333333333333333,0.7853404
0.8125,0.12380952380952381,0.7856286
0.8666666666666667,0.12380952380952381,0.78760844
0.8571428571428571,0.11428571428571428,0.79335654
0.9230769230769231,0.11428571428571428,0.7968306
0.9166666666666666,0.10476190476190476,0.80198604
0.9090909090909091,0.09523809523809523,0.80578744
0.9,0.08571428571428572,0.8112659
0.8888888888888888,0.0761904761904762,0.8407301
